2021-03-13 10:21:02,406 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simpleEqual')
2021-03-13 10:21:02,407 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 10:21:02,407 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simpleEqual')
2021-03-13 10:21:02,464 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,464 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,464 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,464 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,485 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,485 INFO [root] [base.py (base_get_value:40)]] - 正在获取元素('css selector', '#resultIpt')value属性
2021-03-13 10:21:02,485 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,485 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#resultIpt')
2021-03-13 10:21:02,499 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple1')
2021-03-13 10:21:02,499 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple1')
2021-03-13 10:21:02,499 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple1')
2021-03-13 10:21:02,499 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple1')
2021-03-13 10:21:02,537 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:02,537 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple2')
2021-03-13 10:21:02,537 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:02,537 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple2')
2021-03-13 10:21:02,592 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple3')
2021-03-13 10:21:02,592 INFO [root] [base.py (base_click:34)]] - 正在点击元素('css selector', '#simple3')
2021-03-13 10:21:02,592 INFO [root] [base.py (base_find_element:26)]] - 正在查找元素('css selector', '#simple3')
